Sample in Buffer,Sample in Window,TRIGGER,ila_data[639:0],bram_address[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
10,10,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
11,11,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
12,12,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
13,13,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
14,14,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
15,15,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
16,16,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
17,17,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
18,18,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
19,19,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
20,20,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
21,21,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
22,22,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
23,23,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
24,24,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
25,25,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
26,26,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
27,27,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
28,28,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
29,29,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
30,30,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
31,31,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
32,32,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
33,33,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
34,34,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
35,35,0,6700ee54ec81a17dea199505848b7438b5dbf8641706bb8b326a8c2e9e460c418188a1c9a95ecaa0330d6c41f3a6ce9289a5a8b1f1cab26634a4d4820e658a555e004c2f29389e610cd5146937bb8493,00
